date,adj_close,close,high,low,open,volume
,XLK,XLK,XLK,XLK,XLK,XLK
2023-06-05,162.98646545410156,165.94000244140625,167.91000366210938,165.64999389648438,166.8000030517578,5454500
2023-06-06,162.9471893310547,165.89999389648438,166.25999450683594,164.7100067138672,165.5399932861328,4987800
2023-06-07,160.51132202148438,163.4199981689453,166.8699951171875,163.0800018310547,165.5800018310547,6851900
2023-06-08,162.2498321533203,165.19000244140625,165.4499969482422,163.5399932861328,163.66000366210938,5332600
2023-06-09,163.0552215576172,166.00999450683594,167.7100067138672,165.4499969482422,165.99000549316406,7206800
2023-06-12,166.6009521484375,169.6199951171875,169.69000244140625,166.80999755859375,167.14999389648438,6893600
2023-06-13,167.61265563964844,170.64999389648438,171.4600067138672,169.27000427246094,171.1300048828125,8297900
2023-06-14,169.34132385253906,172.41000366210938,172.47000122070312,169.86000061035156,170.4499969482422,8384500
2023-06-15,171.52183532714844,174.6300048828125,175.41000366210938,171.6699981689453,171.7100067138672,8866300
2023-06-16,170.10745239257812,173.19000244140625,176.3000030517578,173.02000427246094,176.2899932861328,8683300
2023-06-20,168.9578094482422,171.66000366210938,172.89999389648438,170.74000549316406,171.83999633789062,7068900
2023-06-21,166.45779418945312,169.1199951171875,171.3300018310547,168.6199951171875,171.0,6029000
2023-06-22,167.81607055664062,170.5,170.57000732421875,168.3300018310547,168.36000061035156,7612100
2023-06-23,165.99517822265625,168.64999389648438,169.64999389648438,167.94000244140625,168.39999389648438,7364500
2023-06-26,164.8042449951172,167.44000244140625,170.27999877929688,167.32000732421875,168.8000030517578,5445100
2023-06-27,168.0523223876953,170.74000549316406,171.1300048828125,167.9499969482422,168.11000061035156,6916500
2023-06-28,168.1507110595703,170.83999633789062,171.75999450683594,169.66000366210938,169.7899932861328,5685800
2023-06-29,168.44601440429688,171.13999938964844,171.4499969482422,170.11000061035156,171.02000427246094,4564100
2023-06-30,171.1231689453125,173.86000061035156,174.3000030517578,172.7100067138672,172.83999633789062,5699200
2023-07-03,170.75901794433594,173.49000549316406,173.91000366210938,172.61000061035156,173.8300018310547,3091100
2023-07-05,169.70584106445312,172.4199981689453,173.7100067138672,172.1300048828125,172.27999877929688,4697800
2023-07-06,169.2530975341797,171.9600067138672,172.1199951171875,170.1999969482422,170.72000122070312,6058200
2023-07-07,168.51490783691406,171.2100067138672,173.27999877929688,171.11000061035156,171.67999267578125,5811100
2023-07-10,168.9578094482422,171.66000366210938,171.6699981689453,169.94000244140625,170.58999633789062,8438600
2023-07-11,169.32199096679688,172.02999877929688,172.22000122070312,170.35000610351562,172.02000427246094,4998000
2023-07-12,171.2412872314453,173.97999572753906,174.8000030517578,172.8000030517578,173.75,8052200
2023-07-13,173.47557067871094,176.25,176.6300048828125,174.82000732421875,175.1699981689453,4674600
2023-07-14,173.2196807861328,175.99000549316406,178.07000732421875,175.47999572753906,176.69000244140625,5771900
2023-07-17,175.43423461914062,178.24000549316406,178.75999450683594,176.1199951171875,176.32000732421875,5929400
2023-07-18,177.42245483398438,180.25999450683594,181.1300048828125,176.89999389648438,177.8300018310547,8203000
2023-07-19,176.9795379638672,179.80999755859375,181.4600067138672,179.1199951171875,180.7100067138672,10495000
2023-07-20,173.44601440429688,176.22000122070312,179.4199981689453,175.6699981689453,178.66000366210938,12178000
2023-07-21,173.35745239257812,176.1300048828125,178.22999572753906,175.9199981689453,177.33999633789062,7435700
2023-07-24,173.66258239746094,176.44000244140625,177.33999633789062,175.75999450683594,176.91000366210938,5654100
2023-07-25,175.65078735351562,178.4600067138672,179.0500030517578,176.97999572753906,177.00999450683594,5401100
2023-07-26,173.28855895996094,176.05999755859375,177.02000427246094,174.82000732421875,176.58999633789062,7750800
2023-07-27,172.78659057617188,175.5500030517578,178.97999572753906,174.75,178.44000244140625,6928500
