date,adj_close,adj_close,adj_close,adj_close,adj_close,adj_close,adj_close,adj_close,close,close,close,close,close,close,close,close,high,high,high,high,high,high,high,high,low,low,low,low,low,low,low,low,open,open,open,open,open,open,open,open,volume,volume,volume,volume,volume,volume,volume,volume
,#,(XETRA),CORE,EXS1.DE,ISHARES,MSCI,UCITS,WORLD,#,(XETRA),CORE,EXS1.DE,ISHARES,MSCI,UCITS,WORLD,#,(XETRA),CORE,EXS1.DE,ISHARES,MSCI,UCITS,WORLD,#,(XETRA),CORE,EXS1.DE,ISHARES,MSCI,UCITS,WORLD,#,(XETRA),CORE,EXS1.DE,ISHARES,MSCI,UCITS,WORLD,#,(XETRA),CORE,EXS1.DE,ISHARES,MSCI,UCITS,WORLD
2023-06-05,,,,133.72000122070312,,466.8429870605469,,,,,,133.72000122070312,,480.80999755859375,,,,,,135.0399932861328,,483.55999755859375,,,,,,133.5,,477.54998779296875,,,,,,134.6999969482422,,477.8399963378906,,,,,,51254.0,,358600.0,,
2023-06-06,,,,134.0800018310547,,463.3767395019531,,,,,,134.0800018310547,,477.239990234375,,,,,,134.13999938964844,,481.1600036621094,,,,,,133.4199981689453,,473.3599853515625,,,,,,133.66000366210938,,478.1700134277344,,,,,,45505.0,,401700.0,,
2023-06-07,,,,133.75999450683594,,458.7647399902344,,,,,,133.75999450683594,,472.489990234375,,,,,,134.1999969482422,,483.8299865722656,,,,,,133.32000732421875,,471.3699951171875,,,,,,133.94000244140625,,479.44000244140625,,,,,,87088.0,,465300.0,,
2023-06-08,,,,134.0,,466.90130615234375,,,,,,134.0,,480.8699951171875,,,,,,134.1999969482422,,481.7200012207031,,,,,,133.36000061035156,,471.9200134277344,,,,,,133.66000366210938,,474.3399963378906,,,,,,47787.0,,319500.0,,
2023-06-09,,,,133.63999938964844,,460.085205078125,,,,,,133.63999938964844,,473.8500061035156,,,,,,134.0,,482.260009765625,,,,,,133.4600067138672,,473.20001220703125,,,,,,133.9199981689453,,482.260009765625,,,,,,39032.0,,393600.0,,
2023-06-12,,,,134.83999633789062,,460.4056091308594,,,,,,134.83999633789062,,474.17999267578125,,,,,,135.16000366210938,,477.4599914550781,,,,,,134.25999450683594,,470.7300109863281,,,,,,134.5,,477.4599914550781,,,,,,76026.0,,1044700.0,,
2023-06-13,,,,135.97999572753906,,466.0468444824219,,,,,,135.97999572753906,,479.989990234375,,,,,,136.02000427246094,,482.4700012207031,,,,,,134.9600067138672,,471.6600036621094,,,,,,135.8000030517578,,477.19000244140625,,,,,,103081.0,,1373800.0,,
2023-06-14,,,,136.75999450683594,,472.07647705078125,,,,,,136.75999450683594,,486.20001220703125,,,,,,136.89999389648438,,488.8999938964844,,,,,,135.97999572753906,,473.260009765625,,,,,,136.0,,480.489990234375,,,,,,77610.0,,733900.0,,
2023-06-15,,,,136.52000427246094,,473.3872375488281,,,,,,136.52000427246094,,487.54998779296875,,,,,,136.55999755859375,,489.70001220703125,,,,,,135.5,,478.79998779296875,,,,,,136.44000244140625,,481.54998779296875,,,,,,58132.0,,457600.0,,
2023-06-16,,,,137.1199951171875,,463.85247802734375,,,,,,137.1199951171875,,477.7300109863281,,,,,,137.66000366210938,,492.45001220703125,,,,,,136.3800048828125,,477.3999938964844,,,,,,136.60000610351562,,491.6499938964844,,,,,,80326.0,,628400.0,,
2023-06-19,,,,135.72000122070312,,,,,,,,135.72000122070312,,,,,,,,136.52000427246094,,,,,,,,135.6199951171875,,,,,,,,136.3800048828125,,,,,,,,101215.0,,,,
2023-06-20,,,,135.05999755859375,,460.0172119140625,,,,,,135.05999755859375,,473.7799987792969,,,,,,135.60000610351562,,478.19000244140625,,,,,,134.67999267578125,,468.45001220703125,,,,,,135.0,,476.1099853515625,,,,,,78220.0,,559100.0,,
2023-06-21,,,,134.25999450683594,,460.86199951171875,,,,,,134.25999450683594,,474.6499938964844,,,,,,135.3000030517578,,478.2699890136719,,,,,,134.0800018310547,,465.20001220703125,,,,,,134.74000549316406,,467.760009765625,,,,,,60353.0,,439000.0,,
2023-06-22,,,,133.94000244140625,,453.6283874511719,,,,,,133.94000244140625,,467.20001220703125,,,,,,133.94000244140625,,471.80999755859375,,,,,,132.47999572753906,,463.7200012207031,,,,,,133.0399932861328,,471.80999755859375,,,,,,77721.0,,349000.0,,
2023-06-23,,,,132.63999938964844,,451.637939453125,,,,,,132.63999938964844,,465.1499938964844,,,,,,133.27999877929688,,471.9800109863281,,,,,,131.8000030517578,,460.010009765625,,,,,,132.89999389648438,,462.6499938964844,,,,,,113599.0,,737200.0,,
2023-06-26,,,,132.5399932861328,,449.7931213378906,,,,,,132.5399932861328,,463.25,,,,,,132.8800048828125,,466.42999267578125,,,,,,131.63999938964844,,461.5400085449219,,,,,,132.75999450683594,,463.8299865722656,,,,,,86173.0,,405200.0,,
