date,adj_close,adj_close,adj_close,adj_close,adj_close,adj_close,adj_close,close,close,close,close,close,close,close,high,high,high,high,high,high,high,low,low,low,low,low,low,low,open,open,open,open,open,open,open,volume,volume,volume,volume,volume,volume,volume
,#,(GBP),500,S&P,UCITS,VANGUARD,VUSA.L,#,(GBP),500,S&P,UCITS,VANGUARD,VUSA.L,#,(GBP),500,S&P,UCITS,VANGUARD,VUSA.L,#,(GBP),500,S&P,UCITS,VANGUARD,VUSA.L,#,(GBP),500,S&P,UCITS,VANGUARD,VUSA.L,#,(GBP),500,S&P,UCITS,VANGUARD,VUSA.L
2023-06-02,,,,,,,63.24564743041992,,,,,,,65.09249877929688,,,,,,,65.14250183105469,,,,,,,64.0,,,,,,,64.08000183105469,,,,,,,155390
2023-06-05,,,,,,,63.770328521728516,,,,,,,65.63249969482422,,,,,,,65.875,,,,,,,65.25749969482422,,,,,,,65.48999786376953,,,,,,,198318
2023-06-06,,,,,,,63.61244201660156,,,,,,,65.47000122070312,,,,,,,65.65249633789062,,,,,,,65.18250274658203,,,,,,,65.2300033569336,,,,,,,90543
2023-06-07,,,,,,,63.41568374633789,,,,,,,65.26750183105469,,,,,,,65.61499786376953,,,,,,,65.09249877929688,,,,,,,65.57499694824219,,,,,,,154780
2023-06-08,,,,,,,62.98331069946289,,,,,,,64.82250213623047,,,,,,,65.15499877929688,,,,,,,64.66000366210938,,,,,,,65.03500366210938,,,,,,,78731
2023-06-09,,,,,,,63.092620849609375,,,,,,,64.93499755859375,,,,,,,65.25,,,,,,,64.44249725341797,,,,,,,64.88249969482422,,,,,,,164817
2023-06-12,,,,,,,63.641578674316406,,,,,,,65.5,,,,,,,65.5,,,,,,,64.9625015258789,,,,,,,65.1675033569336,,,,,,,120638
2023-06-13,,,,,,,63.92092514038086,,,,,,,65.7874984741211,,,,,,,65.9800033569336,,,,,,,65.18499755859375,,,,,,,65.7925033569336,,,,,,,156849
2023-06-14,,,,,,,63.79218673706055,,,,,,,65.65499877929688,,,,,,,65.97750091552734,,,,,,,65.41000366210938,,,,,,,65.82250213623047,,,,,,,128148
2023-06-15,,,,,,,63.77581024169922,,,,,,,65.42250061035156,,,,,,,65.5,,,,,,,65.00749969482422,,,,,,,65.4175033569336,,,,,,,419414
2023-06-16,,,,,,,63.72341537475586,,,,,,,65.3687515258789,,,,,,,65.7249984741211,,,,,,,65.30249786376953,,,,,,,65.45249938964844,,,,,,,119021
2023-06-19,,,,,,,63.507720947265625,,,,,,,65.14749908447266,,,,,,,65.33190155029297,,,,,,,65.00499725341797,,,,,,,65.1500015258789,,,,,,,85382
2023-06-20,,,,,,,63.42486572265625,,,,,,,65.0625,,,,,,,65.47000122070312,,,,,,,65.0,,,,,,,65.16999816894531,,,,,,,103965
2023-06-21,,,,,,,63.342010498046875,,,,,,,64.97750091552734,,,,,,,65.5199966430664,,,,,,,64.81999969482422,,,,,,,64.96749877929688,,,,,,,192640
2023-06-22,,,,,,,63.273773193359375,,,,,,,64.90750122070312,,,,,,,65.04000091552734,,,,,,,64.1500015258789,,,,,,,64.75250244140625,,,,,,,51326
2023-06-23,,,,,,,63.17020034790039,,,,,,,64.8012466430664,,,,,,,65.19249725341797,,,,,,,64.5999984741211,,,,,,,65.0,,,,,,,84744
2023-06-26,,,,,,,63.044681549072266,,,,,,,64.67250061035156,,,,,,,65.03250122070312,,,,,,,64.4625015258789,,,,,,,64.81749725341797,,,,,,,208181
2023-06-27,,,,,,,63.06174850463867,,,,,,,64.69000244140625,,,,,,,64.73500061035156,,,,,,,64.42250061035156,,,,,,,64.52249908447266,,,,,,,116399
2023-06-28,,,,,,,63.94274139404297,,,,,,,65.59375,,,,,,,65.78500366210938,,,,,,,64.9800033569336,,,,,,,65.04750061035156,,,,,,,93082
2023-06-29,,,,,,,64.3034439086914,,,,,,,65.96375274658203,,,,,,,65.9800033569336,,,,,,,65.55500030517578,,,,,,,65.6624984741211,,,,,,,138844
