date,value
2003-01-02,40.972408294677734
2003-01-03,41.20524597167969
2003-01-06,41.18614959716797
2003-01-07,41.34267807006836
2003-01-08,41.38467788696289
2003-01-09,41.05255889892578
2003-01-10,41.15945816040039
2003-01-13,41.113677978515625
2003-01-14,41.22815704345703
2003-01-15,41.22815704345703
2003-01-16,41.13272476196289
2003-01-17,41.3235969543457
2003-01-21,41.35031509399414
2003-01-22,41.43429946899414
2003-01-23,41.45338439941406
2003-01-24,41.64044952392578
2003-01-27,41.396114349365234
2003-01-28,41.522132873535156
2003-01-29,41.277774810791016
2003-01-30,41.41901779174805
2003-01-31,41.53355026245117
2003-02-03,41.57377624511719
2003-02-04,41.654300689697266
2003-02-05,41.59296417236328
2003-02-06,41.66582107543945
2003-02-07,41.757789611816406
2003-02-10,41.5009651184082
2003-02-11,41.654300689697266
2003-02-12,41.5968132019043
2003-02-13,41.5968132019043
2003-02-14,41.57764434814453
2003-02-18,41.70798110961914
2003-02-19,41.84214782714844
2003-02-20,41.949466705322266
2003-02-21,41.83448791503906
2003-02-24,41.97248077392578
2003-02-25,42.04909896850586
2003-02-26,42.16415023803711
2003-02-27,42.340492248535156
2003-02-28,42.35582733154297
2003-03-03,42.599430084228516
2003-03-04,42.622493743896484
2003-03-05,42.599430084228516
2003-03-06,42.52631759643555
2003-03-07,42.537837982177734
2003-03-10,42.65715408325195
2003-03-11,42.560943603515625
2003-03-12,42.483978271484375
2003-03-13,42.21461486816406
2003-03-14,42.16459655761719
2003-03-17,41.945247650146484
2003-03-18,41.779781341552734
2003-03-19,41.560420989990234
2003-03-20,41.633506774902344
2003-03-21,41.42189025878906
2003-03-24,41.7527961730957
2003-03-25,41.798980712890625
2003-03-26,41.98371124267578
2003-03-27,42.04141616821289
2003-03-28,42.210716247558594
2003-03-31,42.406986236572266
2003-04-01,42.635963439941406
2003-04-02,42.51199722290039
2003-04-03,42.515865325927734
2003-04-04,42.41126251220703
2003-04-07,42.33380126953125
2003-04-08,42.488765716552734
2003-04-09,42.628211975097656
2003-04-10,42.473236083984375
2003-04-11,42.322200775146484
2003-04-14,42.34541320800781
2003-04-15,42.42288589477539
2003-04-16,42.709590911865234
2003-04-17,42.620452880859375
2003-04-21,42.709590911865234
2003-04-22,42.72895431518555
2003-04-23,42.976898193359375
2003-04-24,43.228668212890625
2003-04-25,43.23253631591797
2003-04-28,43.25580596923828
2003-04-29,43.10084915161133
2003-04-30,43.40684127807617
2003-05-01,43.65000915527344
2003-05-02,43.5016975402832
2003-05-05,43.69686508178711
2003-05-06,43.927162170410156
2003-05-07,44.21990203857422
2003-05-08,44.223819732666016
2003-05-09,44.14574432373047
2003-05-12,44.2979621887207
2003-05-13,44.30186462402344
2003-05-14,44.49705505371094
2003-05-15,44.481449127197266
2003-05-16,44.7780647277832
2003-05-19,44.59463119506836
2003-05-20,44.731224060058594
2003-05-21,44.731224060058594
2003-05-22,45.031795501708984
2003-05-23,45.094242095947266
2003-05-27,44.93809509277344
2003-05-28,44.75856018066406
2003-05-29,45.082462310791016
2003-05-30,45.10202407836914
2003-06-02,44.910770416259766
2003-06-03,45.3231315612793
2003-06-04,45.382057189941406
2003-06-05,45.30744171142578
2003-06-06,45.382057189941406
2003-06-09,45.48025131225586
2003-06-10,45.83372116088867
2003-06-11,45.782684326171875
2003-06-12,45.947662353515625
2003-06-13,46.14010238647461
2003-06-16,45.971221923828125
2003-06-17,45.82588577270508
2003-06-18,45.401710510253906
2003-06-19,45.48025131225586
2003-06-20,45.26426315307617
2003-06-23,45.49201583862305
2003-06-24,45.55876922607422
2003-06-25,45.32707595825195
2003-06-26,44.93040466308594
2003-06-27,44.812591552734375
2003-06-30,45.02073669433594
2003-07-01,44.77700424194336
2003-07-02,44.93503189086914
2003-07-03,44.658512115478516
2003-07-07,44.441219329833984
2003-07-08,44.480751037597656
2003-07-09,44.6387825012207
2003-07-10,44.72962188720703
2003-07-11,44.784915924072266
2003-07-14,44.66639709472656
2003-07-15,44.15681076049805
2003-07-16,44.14101028442383
2003-07-17,43.935577392578125
2003-07-18,44.12124252319336
2003-07-21,43.587974548339844
2003-07-22,43.55243682861328
2003-07-23,43.84078598022461
2003-07-24,43.65116882324219
2003-07-25,43.55243682861328
2003-07-28,43.117889404296875
2003-07-29,42.722808837890625
2003-07-30,42.940093994140625
2003-07-31,42.40681076049805
2003-08-01,42.532875061035156
2003-08-04,42.78339767456055
2003-08-05,42.588531494140625
2003-08-06,42.7515983581543
2003-08-07,42.98623275756836
2003-08-08,43.01007843017578
2003-08-11,42.84307861328125
2003-08-12,42.79536819458008
2003-08-13,42.314144134521484
2003-08-14,42.36981964111328
2003-08-15,42.45333480834961
2003-08-18,42.59256362915039
2003-08-19,42.970314025878906
2003-08-20,42.839088439941406
2003-08-21,42.63227462768555
2003-08-22,42.839088439941406
2003-08-25,42.64820098876953
2003-08-26,42.731727600097656
2003-08-27,42.72373962402344
2003-08-28,43.0379753112793
2003-08-29,43.02204895019531
2003-09-02,42.91950988769531
2003-09-03,43.043636322021484
2003-09-04,43.1918830871582
2003-09-05,43.52029800415039
2003-09-08,43.36007308959961
2003-09-09,43.49624252319336
2003-09-10,43.8447265625
2003-09-11,43.616371154785156
2003-09-12,43.936824798583984
2003-09-15,43.952850341796875
2003-09-16,44.04896545410156
2003-09-17,44.31730651855469
2003-09-18,44.25720977783203
2003-09-19,44.30128479003906
2003-09-22,44.137088775634766
2003-09-23,44.20115661621094
2003-09-24,44.36935806274414
2003-09-25,44.521610260009766
2003-09-26,44.79792785644531
