date,value
2003-01-02,11.706620216369629
2003-01-03,11.696343421936035
2003-01-06,12.091707229614258
2003-01-07,11.958216667175293
2003-01-08,11.834983825683594
2003-01-09,12.071166038513184
2003-01-10,12.066034317016602
2003-01-13,12.101977348327637
2003-01-14,12.194397926330566
2003-01-15,12.014690399169922
2003-01-16,11.896592140197754
2003-01-17,11.8606538772583
2003-01-21,11.665546417236328
2003-01-22,11.480706214904785
2003-01-23,11.655275344848633
2003-01-24,11.208579063415527
2003-01-27,11.03913402557373
2003-01-28,11.198307991027832
2003-01-29,11.218843460083008
2003-01-30,10.93644905090332
2003-01-31,11.152093887329102
2003-02-03,11.177769660949707
2003-02-04,10.910778045654297
2003-02-05,10.808085441589355
2003-02-06,10.679722785949707
2003-02-07,10.607842445373535
2003-02-10,10.679722785949707
2003-02-11,10.530821800231934
2003-02-12,10.397327423095703
2003-02-13,10.474348068237305
2003-02-14,10.710532188415527
2003-02-18,10.879972457885742
2003-02-19,10.854293823242188
2003-02-20,10.751606941223145
2003-02-21,10.910778045654297
2003-02-24,10.623245239257812
2003-02-25,10.725934028625488
2003-02-26,10.602705001831055
2003-02-27,10.756742477416992
2003-02-28,10.808085441589355
2003-03-03,10.689993858337402
2003-03-04,10.53596019744873
2003-03-05,10.684858322143555
2003-03-06,10.53596019744873
2003-03-07,10.628382682800293
2003-03-10,10.243291854858398
2003-03-11,10.07385540008545
2003-03-12,10.089259147644043
2003-03-13,10.520553588867188
2003-03-14,10.566767692565918
2003-03-17,10.890233993530273
2003-03-18,10.951849937438965
2003-03-19,11.111021995544434
2003-03-20,11.126425743103027
2003-03-21,11.408537864685059
2003-03-24,11.011407852172852
2003-03-25,11.093931198120117
2003-03-26,11.04235553741455
2003-03-27,10.97530746459961
2003-03-28,10.964994430541992
2003-03-31,10.707115173339844
2003-04-01,10.990776062011719
2003-04-02,11.279603958129883
2003-04-03,11.22803020477295
2003-04-04,11.341499328613281
2003-04-07,11.382755279541016
2003-04-08,11.382755279541016
2003-04-09,11.222871780395508
2003-04-10,11.31571102142334
2003-04-11,11.310545921325684
2003-04-14,11.537487030029297
2003-04-15,11.733470916748047
2003-04-16,11.573586463928223
2003-04-17,11.779889106750488
2003-04-21,11.738626480102539
2003-04-22,12.099658966064453
2003-04-23,12.187336921691895
2003-04-24,11.934619903564453
2003-04-25,11.805678367614746
2003-04-28,12.011984825134277
2003-04-29,12.027450561523438
2003-04-30,12.053239822387695
2003-05-01,12.04808235168457
2003-05-02,12.23891544342041
2003-05-05,12.187336921691895
2003-05-06,12.280173301696777
2003-05-07,12.202805519104004
2003-05-08,12.06355094909668
2003-05-09,12.140921592712402
2003-05-12,12.280173301696777
2003-05-13,12.244071006774902
2003-05-14,12.23891544342041
2003-05-15,12.362689971923828
2003-05-16,12.39363956451416
2003-05-19,12.058399200439453
2003-05-20,12.06871223449707
2003-05-21,12.094500541687012
2003-05-22,12.13060474395752
2003-05-23,12.177021026611328
2003-05-27,12.398792266845703
2003-05-28,12.548370361328125
2003-05-29,12.41427230834961
2003-05-30,12.6669921875
2003-06-02,12.78045654296875
2003-06-03,12.8526611328125
2003-06-04,13.03833293914795
2003-06-05,13.12086009979248
2003-06-06,13.110544204711914
2003-06-09,12.837182998657227
2003-06-10,12.94549560546875
2003-06-11,13.141483306884766
2003-06-12,13.115697860717773
2003-06-13,13.0692777633667
2003-06-16,13.389049530029297
2003-06-17,13.383892059326172
2003-06-18,13.254949569702148
2003-06-19,12.94034194946289
2003-06-20,12.979719161987305
2003-06-23,12.777642250061035
2003-06-24,12.850179672241211
2003-06-25,12.767277717590332
2003-06-26,12.876089096069336
2003-06-27,12.767277717590332
2003-06-30,12.720647811889648
2003-07-01,12.870906829833984
2003-07-02,13.031540870666504
2003-07-03,12.969361305236816
2003-07-07,13.192166328430176
2003-07-08,13.280250549316406
2003-07-09,13.259520530700684
2003-07-10,13.0678071975708
2003-07-11,13.24915885925293
2003-07-14,13.49787712097168
2003-07-15,13.425335884094238
2003-07-16,13.357977867126465
2003-07-17,13.13516616821289
2003-07-18,13.295790672302246
2003-07-21,13.140344619750977
2003-07-22,13.269888877868652
2003-07-23,13.228432655334473
2003-07-24,13.171440124511719
2003-07-25,13.48232650756836
2003-07-28,13.43051528930664
2003-07-29,13.285432815551758
2003-07-30,13.290611267089844
2003-07-31,13.275068283081055
2003-08-01,13.015990257263184
2003-08-04,13.031540870666504
2003-08-05,12.819098472595215
2003-08-06,12.99526596069336
2003-08-07,13.057450294494629
2003-08-08,13.119621276855469
2003-08-11,13.093707084655762
2003-08-12,13.24915885925293
2003-08-13,13.150713920593262
2003-08-14,13.275068283081055
2003-08-15,13.264700889587402
2003-08-18,13.280250549316406
2003-08-19,13.264700889587402
2003-08-20,13.233614921569824
2003-08-21,13.233614921569824
2003-08-22,12.979719161987305
2003-08-25,13.026358604431152
2003-08-26,13.052262306213379
2003-08-27,13.000448226928711
2003-08-28,13.057450294494629
2003-08-29,13.119621276855469
2003-09-02,13.352791786193848
2003-09-03,13.378704071044922
2003-09-04,13.32170581817627
2003-09-05,13.259520530700684
2003-09-08,13.38906192779541
2003-09-09,13.32170581817627
2003-09-10,13.104081153869629
2003-09-11,13.161078453063965
2003-09-12,13.181805610656738
2003-09-15,13.181805610656738
2003-09-16,13.33724594116211
2003-09-17,13.357977867126465
2003-09-18,13.679230690002441
2003-09-19,13.657869338989258
2003-09-22,13.459933280944824
2003-09-23,13.553692817687988
2003-09-24,13.319289207458496
2003-09-25,13.256781578063965
2003-09-26,13.183850288391113
