symbol,last,change,pct,open,high,low,prev_close,volume,exchange,currency,timestamp,source
6E=F,1.166949987411499,0.0010499954223632812,0.09005878973992355,1.165850043296814,1.1683499813079834,1.1649500131607056,1.1658999919891357,76020,CME,USD,1761577041,yfinance
6J=F,0.006565500050783157,-5.00120222568512e-07,-0.007616817081073997,0.006560000125318766,0.0065864999778568745,0.006556500215083361,0.006566000171005726,75695,CME,USD,1761577041,yfinance
CL=F,61.77000045776367,0.25,0.40637190854970257,61.81999969482422,62.16999816894531,60.66999816894531,61.52000045776367,146735,NYM,USD,1761577042,yfinance
ES=F,6887.75,9.5,0.1381165267328172,6881.0,6892.5,6865.75,6878.25,460331,CME,USD,1761577042,yfinance
GC=F,4010.39990234375,-73.10009765625,-1.7901334065446308,4103.2001953125,4123.7998046875,3995.199951171875,4083.5,227585,CMX,USD,1761577043,yfinance
HG=F,5.1479997634887695,-0.046000003814697266,-0.885637386899206,5.172500133514404,5.247000217437744,5.13100004196167,5.193999767303467,33363,CMX,USD,1761577043,yfinance
NG=F,3.4200000762939453,0.06500005722045898,1.9374085499531335,3.4100000858306885,3.433000087738037,3.260999917984009,3.3550000190734863,27897,NYM,USD,1761577043,yfinance
NQ=F,25881.0,120.0,0.46582042622569,25723.5,25892.0,25700.0,25761.0,199934,CME,USD,1761577044,yfinance
RTY=F,2533.800048828125,-13.5,-0.5299729023367553,2551.800048828125,2566.5,2532.300048828125,2547.300048828125,67951,CME,USD,1761577044,yfinance
SI=F,46.35499954223633,-1.6599998474121094,-3.457252667944403,48.30500030517578,48.595001220703125,46.15999984741211,48.01499938964844,66919,CMX,USD,1761577045,yfinance
YM=F,47636.0,-26.0,-0.054550795182745165,47711.0,47775.0,47547.0,47662.0,33425,CBT,USD,1761577046,yfinance
ZB=F,118.4375,-0.09375,-0.07909306617453203,118.15599822998047,118.53125,117.84375,118.53125,179257,CBT,USD,1761577046,yfinance
ZF=F,109.5859375,-0.1328125,-0.12104813443463401,109.5780029296875,109.65625,109.53125,109.71875,454439,CBT,USD,1761577047,yfinance
ZN=F,113.265625,-0.171875,-0.15151515151515152,113.18800354003906,113.34375,113.125,113.4375,753667,CBT,USD,1761577047,yfinance
