symbol,max_strike,max_oi
AAPL,250.0,287110.0
AMZN,250.0,235759.0
AVGO,300.0,87312.0
GLD,380.0,239071.0
GOOGL,300.0,199938.0
META,700.0,100506.0
MSFT,500.0,125528.0
NVDA,180.0,665037.0
SPY,500.0,643726.0
