symbol,asof,hv20,hv60
ALV.DE,2025-11-14,0.1373723946030934,0.1691399298017292
BAYN.DE,2025-11-14,0.36570423009363395,0.3017692133529801
VOW3.DE,2025-11-14,0.20729778865874304,0.2399866137332558
BAS.DE,2025-11-14,0.2016692661911285,0.192941080041574
SIE.DE,2025-11-14,0.3922492647983119,0.303034657061739
DTE.DE,2025-11-14,0.18970601580347718,0.17191420614911257
SAP.DE,2025-11-14,0.32641629955577617,0.29011576462019967
BMW.DE,2025-11-14,0.28492282706811445,0.2892630562620531
ADS.DE,2025-11-14,0.42073562874877823,0.3388435239637475
IFX.DE,2025-11-14,0.3978590898448623,0.33929339842948897
GLD,2025-11-14,0.32901255735598917,0.23651481603971258
AVGO,2025-11-14,0.35285208660537354,0.4670397999419911
MSFT,2025-11-14,0.2020993903812171,0.1678724844198479
SPY,2025-11-14,0.12821904957684796,0.11557875288035517
AMZN,2025-11-14,0.44854196752190206,0.3389647610374198
AAPL,2025-11-14,0.1901768979883579,0.2246788416374061
META,2025-11-14,0.44613063135775793,0.3149045256547459
GOOGL,2025-11-14,0.3199339151397511,0.3134591986557934
NVDA,2025-11-14,0.43040542379999375,0.3627658952523412
