symbol,api_symbol,period,report_date,year,quarter,report_time,eps_actual,eps_estimate,surprise_pct,surprise_eps_abs,revenue_actual,revenue_estimate,surprise_rev_pct,currency,source
ALV,ALV,2022Q2,2022-06-01,,,,0.91,,,,2081000000.0,,,USD,sec
ALV,ALV,2022Q3,2022-09-01,,,,1.21,,,,2302000000.0,,,USD,sec
ALV,ALV,2022Q4,2022-12-01,,,,4.85,,,,8842000000.0,,,USD,sec
ALV,ALV,2023Q1,2023-03-01,,,,0.86,,,,2493000000.0,,,USD,sec
ALV,ALV,2023Q2,2023-06-01,,,,0.61,,,,2635000000.0,,,USD,sec
ALV,ALV,2023Q3,2023-09-01,,,,1.57,,,,2596000000.0,,,USD,sec
ALV,ALV,2023Q4,2023-12-01,,,,5.72,,,,10475000000.0,,,USD,sec
ALV,ALV,2024Q1,2024-03-01,,,,1.52,,,,2615000000.0,,,USD,sec
ALV,ALV,2024Q2,2024-06-01,,,,1.71,,,,2605000000.0,,,USD,sec
ALV,ALV,2024Q3,2024-09-01,,,,1.74,,,,2555000000.0,,,USD,sec
ALV,ALV,2024Q4,2024-12-01,,,,8.04,,,,10390000000.0,,,USD,sec
ALV,ALV,2025Q1,2025-03-01,,,,2.14,,,,2578000000.0,,,USD,sec
ALV,ALV,2025Q2,2025-06-01,,,,2.16,,,,2714000000.0,,,USD,sec
