symbol,region,proxy_spread
SAP.DE,EU_IG,0.89
DTE.DE,EU_IG,0.65
ALV.DE,EU_IG,0.65
SIE.DE,EU_IG,0.68
BAS.DE,EU_IG,0.73
BAYN.DE,EU_IG,0.65
BMW.DE,EU_IG,0.86
VOW3.DE,EU_IG,0.65
ADS.DE,EU_IG,0.89
IFX.DE,EU_IG,0.89
AAPL,US_IG,0.71
MSFT,US_IG,0.65
AMZN,US_IG,0.89
SPY,EU_IG,0.65
GLD,EU_IG,0.89
AVGO,US_IG,0.89
META,US_IG,0.89
NVDA,US_IG,0.89
GOOGL,US_IG,0.85
