symbol,total_oi,max_oi_expiry,max_oi_value
AAPL,5558266,2026-01-16,1550329
AMZN,4634781,2026-01-16,799652
AVGO,2094823,2026-01-16,533037
GLD,5983518,2025-11-21,1010520
GOOGL,2997586,2026-01-16,748026
META,2104276,2026-01-16,362059
MSFT,2299222,2026-01-16,480117
NVDA,19555788,2026-01-16,3920079
SPY,17288892,2025-12-19,2962770
